CIK,Date,filling type,Hedge,word found
1000180,2005-03-18,10-K,0,N/A
1000180,2004-03-12,10-K,0,N/A
1000180,2006-03-15,10-K,0,N/A
1000180,2008-02-25,10-K,0,N/A
1000180,2010-02-25,10-K,0,N/A
1000180,2011-02-23,10-K,0,N/A
1000180,2009-02-25,10-K,0,N/A
1000180,2012-02-23,10-K,0,N/A
1000180,2007-02-28,10-K,0,N/A
1000180,2013-02-19,10-K,0,N/A
1000180,2015-02-10,10-K,0,N/A
1000180,2014-02-21,10-K,0,N/A
1000180,2004-05-06,10-Q,0,N/A
1000180,2004-11-05,10-Q,1,interestrateswap
1000180,2005-05-13,10-Q,0,N/A
1000180,2016-02-12,10-K,0,N/A
1000180,2005-08-12,10-Q,0,N/A
1000180,2007-08-07,10-Q,0,N/A
1000180,2007-05-09,10-Q,0,N/A
1000180,2006-11-08,10-Q,1,interestrateswap
1000180,2005-11-09,10-Q,0,N/A
1000180,2008-11-07,10-Q,0,N/A
1000180,2006-05-08,10-Q,0,N/A
1000180,2008-08-06,10-Q,0,N/A
1000180,2007-11-08,10-Q,0,N/A
1000180,2004-08-06,10-Q,0,N/A
1000180,2009-05-07,10-Q,0,N/A
1000180,2009-08-06,10-Q,0,N/A
1000180,2011-11-09,10-Q,0,N/A
1000180,2009-11-06,10-Q,0,N/A
1000180,2010-11-12,10-Q,1,interestrateswap
1000180,2008-05-08,10-Q,0,N/A
1000180,2011-05-11,10-Q,0,N/A
1000180,2012-08-06,10-Q,0,N/A
1000180,2006-08-10,10-Q,0,N/A
1000180,2010-05-12,10-Q,0,N/A
1000180,2010-08-12,10-Q,0,N/A
1000180,2012-11-05,10-Q,0,N/A
1000180,2011-08-10,10-Q,0,N/A
1000180,2012-05-08,10-Q,0,N/A
1000180,2015-04-30,10-Q,0,N/A
1000180,2013-10-22,10-Q,0,N/A
1000180,2015-10-30,10-Q,0,N/A
1000180,2015-07-31,10-Q,0,N/A
1000228,2007-02-28,10-K,1,interestrateswap
1000180,2013-05-03,10-Q,0,N/A
1000228,2004-03-09,10-K,1,interestrateswap
1000180,2014-07-31,10-Q,0,N/A
1000180,2013-07-30,10-Q,0,N/A
1000228,2012-02-15,10-K,1,interestratehedge
1000180,2014-05-01,10-Q,0,N/A
1000180,2016-05-02,10-Q,0,N/A
1000180,2014-11-03,10-Q,0,N/A
1000228,2009-02-24,10-K,1,interestrateswap
1000228,2006-03-10,10-K,1,interestrateswap
1000228,2016-02-10,10-K,0,N/A
1000228,2014-02-11,10-K,0,N/A
1000228,2018-02-21,10-K,0,N/A
1000228,2010-02-23,10-K,1,interestrateswap
1000228,2017-02-21,10-K,0,N/A
1000228,2004-05-04,10-Q,1,interestrateswap
1000228,2011-02-22,10-K,1,interestratehedge
1000228,2005-03-04,10-K,1,interestrateswap
1000228,2015-02-11,10-K,0,N/A
1000228,2006-11-08,10-Q,0,N/A
1000228,2006-08-08,10-Q,0,N/A
1000228,2005-11-01,10-Q,1,interestrateswap
1000228,2005-05-03,10-Q,1,interestrateswap
1000228,2020-02-20,10-K,0,N/A
1000228,2022-02-15,10-K,0,N/A
1000228,2007-11-06,10-Q,0,N/A
1000228,2008-11-05,10-Q,1,interestrateswap
1000228,2021-02-17,10-K,0,N/A
1000228,2007-08-08,10-Q,0,N/A
1000228,2008-02-26,10-K,1,interestrateswap
1000228,2007-05-09,10-Q,0,N/A
1000228,2013-02-13,10-K,0,N/A
1000228,2008-08-05,10-Q,1,interestrateswap
1000228,2009-08-04,10-Q,1,interestrateswap
1000228,2009-11-04,10-Q,1,interestrateswap
1000228,2004-08-03,10-Q,1,interestrateswap
1000228,2019-02-20,10-K,1,interestratecap
1000228,2014-08-04,10-Q,0,N/A
1000228,2004-11-02,10-Q,1,interestrateswap
1000228,2010-05-04,10-Q,1,interestrateswap
1000228,2006-05-09,10-Q,0,N/A
1000228,2010-10-29,10-Q,1,interestrateswap
1000228,2011-11-01,10-Q,1,interestratederivative
1000228,2008-05-07,10-Q,1,interestrateswap
1000228,2009-05-04,10-Q,1,interestrateswap
